team,spread,o/u,season_year,week
CIN,-2.5,39.0,2015,1
PHI,-5.5,44.0,2015,1
TB,3.5,37.5,2015,1
NO,-1.5,39.5,2015,1
BUF,1.0,38.0,2015,1
CAR,1.0,40.0,2015,1
JAC,4.5,40.0,2015,1
MIN,2.0,38.5,2015,1
KC,2.5,39.0,2015,1
HOU,-4.0,39.0,2015,1
CLE,1.0,38.0,2015,1
ARI,6.0,38.0,2015,1
SD,3.0,37.0,2015,1
OAK,3.5,38.0,2015,1
BAL,1.0,39.5,2015,1
NYG,3.0,40.0,2015,1
PIT,7.0,50.5,2015,2
GB,-6.0,48.5,2015,2
KC,-1.5,41.0,2015,2
CLE,3.5,39.0,2015,2
IND,1.0,44.5,2015,2
MIA,-3.5,45.5,2015,2
CAR,-3.0,41.0,2015,2
SEA,-3.5,42.0,2015,2
NO,2.5,48.5,2015,2
DET,3.5,45.0,2015,2
TEN,3.0,40.5,2015,2
CIN,-3.0,43.0,2015,2
BAL,4.5,46.5,2015,2
NYG,6.5,52.0,2015,2
PHI,-3.0,55.0,2015,2
MIN,-2.5,41.5,2015,2
DEN,3.0,42.0,2015,3
HOU,3.0,41.5,2015,3
TB,8.5,47.0,2015,3
NE,1.5,45.0,2015,3
ARI,-2.0,45.5,2015,3
TEN,1.0,41.0,2015,3
SD,3.5,47.5,2015,3
STL,-3.5,41.5,2015,3
MIA,-6.0,42.5,2015,3
SEA,3.0,49.0,2015,3
SF,5.5,46.0,2015,3
DET,2.5,44.0,2015,3
ATL,1.5,49.0,2015,3
DAL,7.0,54.0,2015,3
BAL,-5.0,42.5,2015,3
NYJ,6.0,45.0,2015,3
SD,2.0,45.0,2015,4
TB,6.5,40.5,2015,4
NO,3.5,45.0,2015,4
JAC,13.5,47.0,2015,4
CIN,3.0,44.5,2015,4
OAK,4.5,41.5,2015,4
SF,6.5,43.5,2015,4
BUF,3.0,43.5,2015,4
WAS,3.5,44.0,2015,4
PIT,1.0,48.5,2015,4
SD,2.5,45.5,2015,4
TB,5.5,41.0,2015,4
NO,10.0,43.0,2015,4
JAC,13.5,49.0,2015,4
CIN,1.5,45.5,2015,4
OAK,3.5,43.0,2015,4
SF,6.5,44.5,2015,4
BUF,1.5,43.5,2015,4
ATL,-1.0,43.0,2015,4
PHI,3.0,47.0,2015,4
IND,-3.5,46.5,2015,4
CHI,15.5,43.5,2015,4
DEN,-3.0,44.5,2015,4
KC,4.5,47.0,2015,4
BAL,-3.0,44.0,2015,5
NYJ,-2.5,42.5,2015,5
JAC,4.5,43.5,2015,5
CAR,-3.0,40.5,2015,5
NYG,6.0,46.5,2015,5
PHI,-3.0,46.5,2015,5
CLE,5.0,44.5,2015,5
STL,7.0,43.5,2015,5
HOU,4.0,47.0,2015,5
OAK,-3.0,44.5,2015,5
MIN,6.5,43.0,2015,5
KC,3.0,44.5,2015,5
