team,spread,o/u,season_year,week
GB,5.0,47.0,2014,1
NO,-3.0,50.5,2014,1
MIN,3.0,43.5,2014,1
CLE,6.0,41.5,2014,1
JAC,10.0,48.5,2014,1
OAK,6.5,41.0,2014,1
CIN,1.0,43.5,2014,1
BUF,6.5,47.5,2014,1
WAS,3.0,43.5,2014,1
TEN,3.0,45.0,2014,1
NE,-3.5,47.5,2014,1
CAR,4.5,38.5,2014,1
SF,-3.5,49.0,2014,1
IND,8.0,53.5,2014,1
NYG,6.0,46.0,2014,1
SD,3.0,45.0,2014,1
PIT,3.0,44.0,2014,2
MIA,1.5,43.0,2014,2
JAC,4.5,43.0,2014,2
DAL,3.5,49.5,2014,2
ARI,2.5,42.0,2014,2
NE,-3.0,49.5,2014,2
NO,-5.0,49.5,2014,2
ATL,5.5,48.5,2014,2
STL,4.0,37.5,2014,2
SEA,-4.5,45.0,2014,2
HOU,-3.0,41.0,2014,2
NYJ,7.0,46.5,2014,2
CHI,7.0,47.0,2014,2
KC,13.0,48.5,2014,2
DET,1.5,43.5,2014,2
PHI,3.0,53.0,2014,2
TB,6.5,46.5,2014,3
SD,2.5,45.5,2014,3
HOU,1.0,41.5,2014,3
TEN,6.5,44.5,2014,3
BAL,-2.0,43.0,2014,3
GB,1.0,51.0,2014,3
IND,-6.5,45.5,2014,3
OAK,14.0,47.5,2014,3
DEN,4.0,48.0,2014,3
PIT,3.5,42.0,2014,3
KC,4.5,42.5,2014,3
DAL,-2.0,45.0,2014,3
MIN,9.5,50.0,2014,3
WAS,4.5,49.5,2014,3
SF,-3.0,41.5,2014,3
CHI,2.0,45.0,2014,3
NYG,3.0,44.5,2014,4
MIA,-3.5,41.5,2014,4
GB,-1.5,50.5,2014,4
TEN,7.0,45.5,2014,4
DET,1.5,43.5,2014,4
JAC,12.5,45.0,2014,4
PHI,4.0,48.5,2014,4
ATL,-5.0,48.0,2014,4
NO,-3.0,53.5,2014,4
CAR,3.5,42.5,2014,4
TB,7.0,44.0,2014,4
BUF,3.0,44.0,2014,4
NE,-3.0,45.5,2014,4
MIN,9.5,46.5,2014,5
STL,4.0,48.0,2014,5
ATL,4.5,50.5,2014,5
BUF,5.0,43.0,2014,5
BAL,3.0,49.5,2014,5
PIT,-6.0,47.5,2014,5
ARI,8.0,47.0,2014,5
KC,4.5,43.0,2014,5
NYJ,6.5,45.0,2014,5
CIN,-3.0,46.0,2014,5
TB,10.5,47.5,2014,5
HOU,5.0,47.0,2014,5
CHI,1.5,46.5,2014,5
CLE,-1.0,44.0,2014,5
SEA,-7.0,45.5,2014,5
IND,-3.0,46.0,2014,6
DEN,-9.5,47.0,2014,6
PIT,1.5,46.5,2014,6
CHI,3.5,55.5,2014,6
GB,-2.0,46.5,2014,6
BAL,-3.5,43.5,2014,6
SD,-7.0,44.0,2014,6
NYG,1.5,51.0,2014,6
CAR,7.0,44.0,2014,6
NE,-1.0,44.5,2014,6
DAL,9.5,47.0,2014,6
DET,1.0,43.5,2014,6
JAC,4.0,42.0,2014,6
WAS,6.0,46.5,2014,6
SF,-3.5,44.0,2014,6
NYJ,9.5,44.5,2014,7
CIN,3.0,50.5,2014,7
TEN,5.5,46.0,2014,7
MIA,3.0,47.5,2014,7
CLE,-4.0,44.5,2014,7
CAR,6.5,49.0,2014,7
ATL,6.5,49.0,2014,7
MIN,6.5,43.5,2014,7
KC,3.0,45.5,2014,7
ARI,-3.5,46.5,2014,7
NO,1.5,46.5,2014,7
NYG,5.0,47.0,2014,7
SEA,-6.5,43.5,2014,7
SF,6.5,47.5,2014,7
HOU,3.0,44.0,2014,7
SD,9.0,50.5,2014,8
DET,-3.5,45.0,2014,8
MIN,2.5,43.0,2014,8
CHI,6.0,51.5,2014,8
STL,7.0,44.0,2014,8
SEA,-5.5,44.5,2014,8
BUF,3.0,40.0,2014,8
MIA,-6.5,42.0,2014,8
BAL,-3.0,44.5,2014,8
PHI,1.0,49.0,2014,8
OAK,6.0,44.0,2014,8
GB,2.0,55.0,2014,8
IND,-4.0,48.0,2014,8
HOU,-3.5,42.5,2014,8
WAS,9.5,49.0,2014,8
NO,-3.0,49.0,2014,9
SD,2.5,45.0,2014,9
JAC,10.0,43.5,2014,9
TB,6.5,43.5,2014,9
PHI,-1.5,48.0,2014,9
NYJ,9.0,41.5,2014,9
STL,10.0,44.5,2014,9
DEN,-3.0,52.5,2014,9
OAK,13.5,43.5,2014,9
BAL,2.0,47.5,2014,9
WAS,1.0,44.0,2014,9
ARI,1.0,44.5,2014,9
IND,-3.0,50.5,2014,9
CLE,6.5,45.0,2014,10
KC,1.0,41.5,2014,10
SF,6.0,49.0,2014,10
ATL,-3.0,47.5,2014,10
DEN,-11.5,51.0,2014,10
STL,7.0,43.5,2014,10
CHI,8.5,53.0,2014,10
MIA,3.0,42.5,2014,10
TEN,10.0,45.0,2014,10
PIT,-3.5,46.5,2014,10
NYG,9.5,45.0,2014,10
DAL,-7.0,45.5,2014,10
CAR,7.0,48.5,2014,10
BUF,4.0,41.0,2014,11
HOU,4.0,42.0,2014,11
SEA,1.0,43.5,2014,11
CIN,8.0,51.0,2014,11
TB,6.5,46.0,2014,11
DEN,-8.0,50.0,2014,11
SF,-3.5,44.5,2014,11
OAK,10.5,46.0,2014,11
NE,3.0,58.0,2014,11
MIN,2.0,46.5,2014,11
